State_Num,City_Num,EMPLOYER_num,OCCUPATION_num,party_label
12,1370,1,1,0
6,402,1,1,0
43,2172,1,1,0
28,6952,1,1,0
12,5127,2,2,1
7,1529,18584,4,1
16,5099,1,1,0
40,2623,1,1,0
6,2355,1,1,0
8,3547,1,1,0
17,2554,1,1,0
28,428,77795,582,1
28,256,5,2,1
12,1370,1,1,0
40,3784,1,1,0
17,1104,101377,13,0
2,2,4,26,1
38,118,2,2,1
2,2,2,2,1
12,549,2,2,1
5,66,1,1,0
4,98,5,2,1
15,28,5,2,1
40,2623,2,2,1
5,258,1,1,0
42,5610,1,1,0
44,4502,40282,10658,0
17,35,1,1,0
5,43,1,1,0
33,3226,1,1,0
48,504,5,906,1
12,3011,17242,111,1
9,11,1,1,0
12,2450,1,1,0
6,6,1,1,0
19,1129,12040,4482,0
2,3487,1,1,0
16,2746,2,2,1
12,395,2,2,1
6,402,140767,14,0
12,618,3,1,1
6,285,3,3,0
12,193,62583,2137,0
19,585,1,1,0
9,11350,2,2,1
12,4491,5,2,1
28,1554,1137,218,1
2,2,4,292,0
7,2588,2,2,1
9,2497,1,1,0
12,615,5,2,1
10,5086,1,1,0
12,1175,4,22,1
6,250,86497,200,0
42,2437,2,2,1
12,1649,51083,6,0
37,1470,52408,656,0
10,34,2,2,1
12,2635,2,2,1
7,3104,1543,1455,0
28,428,4,14,0
3,943,2,2,1
14,59,1,1,0
6,916,1,1,0
28,1554,2,1,1
24,171,3,3,0
36,247,205,21,1
24,68,4,193,0
10,4176,66,598,0
21,113,2,2,1
37,754,43,278,1
3,603,1,1,1
48,514,22513,1479,0
17,90,1,1,1
50,5446,2,2,1
10,34,2,2,1
36,3183,1,1,0
29,2160,2173,215,1
17,1850,83251,4,0
12,1441,1,1,0
35,3943,1,1,0
4,7958,1,1,0
21,1958,1,1,0
6,771,2,2,1
