State_Num,City_Num,EMPLOYER_num,OCCUPATION_num,party_label
22,1308,6391,5,1
3,2967,52,134,1
12,67,1,1,0
17,487,73819,21,0
18,457,2,2,1
10,351,2,2,1
24,2246,1,1,0
9,1883,2,2,1
12,276,4756,2305,1
2,2,12030,17,1
36,385,2,2,1
5,850,1,1,0
2,6817,2,2,1
20,353,5354,125,1
28,5007,4618,22,1
35,693,4,8,0
20,8128,4,271,1
15,164,1,1,0
5,2051,1,1,0
5,66,1,1,0
12,2398,1,1,0
5,1614,7544,22,1
33,678,5,1,0
21,130,2,2,1
12,146,3,1,1
22,4648,1,1,0
19,10024,1,1,0
4,1561,2,1,1
